# Definition of the community standard for skyglow observations 1.0
# URL: http://www.darksky.org/NSBM/sdf1.0.pdf
# Number of header lines: 35
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: TESS-W
# Instrument ID: stars927
# Data supplier: None/Parc Chasseral
# Location name: Observatoire astronomique de Mont-Soleil, Parc naturel régional Chasseral/Saint-Imier/Bernese Jura administrative district/Bern/Switzerland 
# Position: 47.164065, 6.989532, 0.0
# Local timezone: Europe/Zurich
# Time Synchronization: timestamp added by MQTT subscriber
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: None
# Measurement direction per channel: (0.0, 0.0)
# Field of view: 17.0
# Number of fields per line: 8
# TESS MAC address: 4C:75:25:28:61:97
# TESS firmware version: Unknown
# TESS cover offset value: 0.0
# TESS zero point: 2.0
# Comment:  
# Comment:
# Comment:
# Comment:
# Comment:
# Comment: 
# Comment: MSAS = ZP - 2.5*log10(Frequency)
# blank line 30
# blank line 31
# blank line 32
# UTC Date & Time, Local Date & Time, Enclosure Temperature, Sky Temperature, Frequency, MSAS, ZP, Sequence Number
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Celsius;Hz;mag/arcsec^2;mag/arcsec^2; Multiple of Tx period
# END OF HEADER
2024-07-01T00:00:40.000;2024-07-01T02:00:40.000;12.62;9.54;0.94;20.42;2.0;32519
2024-07-01T00:01:40.000;2024-07-01T02:01:40.000;12.59;9.01;0.9;20.45;2.0;32520
2024-07-01T00:02:40.000;2024-07-01T02:02:40.000;12.57;8.18;0.9;20.45;2.0;32521
2024-07-01T00:03:40.000;2024-07-01T02:03:40.000;12.53;8.68;0.9;20.45;2.0;32522
2024-07-01T00:04:40.000;2024-07-01T02:04:40.000;12.54;9.08;0.92;20.43;2.0;32523
2024-07-01T00:05:40.000;2024-07-01T02:05:40.000;12.51;9.58;1.03;20.32;2.0;32524
2024-07-01T00:06:41.000;2024-07-01T02:06:41.000;12.46;9.38;0.98;20.37;2.0;32525
2024-07-01T00:07:41.000;2024-07-01T02:07:41.000;12.41;9.53;0.98;20.36;2.0;32526
2024-07-01T00:08:41.000;2024-07-01T02:08:41.000;12.42;9.89;1.02;20.33;2.0;32527
2024-07-01T00:09:41.000;2024-07-01T02:09:41.000;12.41;9.82;1.09;20.26;2.0;32528
2024-07-01T00:10:41.000;2024-07-01T02:10:41.000;12.41;9.97;1.06;20.3;2.0;32529
2024-07-01T00:11:41.000;2024-07-01T02:11:41.000;12.45;10.15;1.07;20.3;2.0;32530
2024-07-01T00:12:41.000;2024-07-01T02:12:41.000;12.53;10.11;1.07;20.3;2.0;32531
2024-07-01T00:13:41.000;2024-07-01T02:13:41.000;12.48;9.98;1.1;20.27;2.0;32532
2024-07-01T00:14:41.000;2024-07-01T02:14:41.000;12.52;10.17;1.1;20.27;2.0;32533
2024-07-01T00:15:41.000;2024-07-01T02:15:41.000;12.52;10.05;1.21;20.16;2.0;32534
2024-07-01T00:16:41.000;2024-07-01T02:16:41.000;12.55;10.2;1.11;20.25;2.0;32535
2024-07-01T00:17:41.000;2024-07-01T02:17:41.000;12.56;9.95;1.12;20.23;2.0;32536
2024-07-01T00:18:41.000;2024-07-01T02:18:41.000;12.48;10.0;1.18;20.18;2.0;32537
2024-07-01T00:19:42.000;2024-07-01T02:19:42.000;12.45;9.92;1.14;20.22;2.0;32538
2024-07-01T00:20:42.000;2024-07-01T02:20:42.000;12.45;10.05;1.1;20.27;2.0;32539
2024-07-01T00:21:42.000;2024-07-01T02:21:42.000;12.47;10.2;1.13;20.25;2.0;32540
2024-07-01T00:22:42.000;2024-07-01T02:22:42.000;12.44;9.89;1.12;20.27;2.0;32541
2024-07-01T00:23:42.000;2024-07-01T02:23:42.000;12.4;9.97;1.17;20.21;2.0;32542
2024-07-01T00:24:42.000;2024-07-01T02:24:42.000;12.41;10.16;1.12;20.25;2.0;32543
2024-07-01T00:25:42.000;2024-07-01T02:25:42.000;12.46;10.15;1.18;20.21;2.0;32544
2024-07-01T00:26:42.000;2024-07-01T02:26:42.000;12.45;10.09;1.22;20.17;2.0;32545
2024-07-01T00:27:42.000;2024-07-01T02:27:42.000;12.47;10.14;1.15;20.23;2.0;32546
2024-07-01T00:28:42.000;2024-07-01T02:28:42.000;12.5;10.25;1.18;20.19;2.0;32547
2024-07-01T00:29:42.000;2024-07-01T02:29:42.000;12.58;10.31;1.11;20.3;2.0;32548
2024-07-01T00:30:42.000;2024-07-01T02:30:42.000;12.6;10.19;1.09;20.3;2.0;32549
2024-07-01T00:31:42.000;2024-07-01T02:31:42.000;12.55;10.09;1.1;20.3;2.0;32550
2024-07-01T00:32:42.000;2024-07-01T02:32:42.000;12.5;9.9;1.07;20.33;2.0;32551
2024-07-01T00:33:43.000;2024-07-01T02:33:43.000;12.44;10.13;1.09;20.31;2.0;32552
2024-07-01T00:34:43.000;2024-07-01T02:34:43.000;12.46;10.15;1.11;20.29;2.0;32553
2024-07-01T00:35:43.000;2024-07-01T02:35:43.000;12.4;9.92;1.13;20.27;2.0;32554
2024-07-01T00:36:43.000;2024-07-01T02:36:43.000;12.38;10.06;1.09;20.32;2.0;32555
2024-07-01T00:37:43.000;2024-07-01T02:37:43.000;12.39;10.11;1.11;20.29;2.0;32556
2024-07-01T00:38:43.000;2024-07-01T02:38:43.000;12.4;10.09;1.14;20.26;2.0;32557
2024-07-01T00:39:43.000;2024-07-01T02:39:43.000;12.41;10.18;1.15;20.25;2.0;32558
2024-07-01T00:40:43.000;2024-07-01T02:40:43.000;12.46;10.23;1.11;20.31;2.0;32559
2024-07-01T00:41:43.000;2024-07-01T02:41:43.000;12.49;10.23;1.1;20.31;2.0;32560
2024-07-01T00:42:43.000;2024-07-01T02:42:43.000;12.55;10.35;1.11;20.29;2.0;32561
2024-07-01T00:43:43.000;2024-07-01T02:43:43.000;12.61;10.28;1.09;20.32;2.0;32562
2024-07-01T00:44:43.000;2024-07-01T02:44:43.000;12.6;10.2;1.09;20.32;2.0;32563
2024-07-01T00:45:43.000;2024-07-01T02:45:43.000;12.58;10.18;1.12;20.29;2.0;32564
2024-07-01T00:46:44.000;2024-07-01T02:46:44.000;12.62;10.38;1.12;20.3;2.0;32565
2024-07-01T00:47:44.000;2024-07-01T02:47:44.000;12.57;10.01;1.11;20.3;2.0;32566
2024-07-01T00:48:44.000;2024-07-01T02:48:44.000;12.53;10.21;1.12;20.29;2.0;32567
2024-07-01T00:49:44.000;2024-07-01T02:49:44.000;12.57;10.22;1.12;20.29;2.0;32568
2024-07-01T00:50:44.000;2024-07-01T02:50:44.000;12.52;10.06;1.21;20.22;2.0;32569
2024-07-01T00:51:44.000;2024-07-01T02:51:44.000;12.43;9.79;1.93;19.65;2.0;32570
2024-07-01T00:52:44.000;2024-07-01T02:52:44.000;12.38;9.98;1.9;19.67;2.0;32571
2024-07-01T00:53:44.000;2024-07-01T02:53:44.000;12.42;10.16;1.08;20.34;2.0;32572
2024-07-01T00:54:44.000;2024-07-01T02:54:44.000;12.48;10.09;1.09;20.32;2.0;32573
2024-07-01T00:55:44.000;2024-07-01T02:55:44.000;12.42;9.78;1.18;20.22;2.0;32574
2024-07-01T00:56:44.000;2024-07-01T02:56:44.000;12.44;9.96;1.08;20.33;2.0;32575
2024-07-01T00:57:44.000;2024-07-01T02:57:44.000;12.47;9.93;1.09;20.32;2.0;32576
2024-07-01T00:58:44.000;2024-07-01T02:58:44.000;12.53;10.04;1.1;20.32;2.0;32577
2024-07-01T00:59:44.000;2024-07-01T02:59:44.000;12.6;10.04;1.12;20.28;2.0;32578
